Medium,Name,Link,Follower,Engagement,Average Impression,,TOTAL ENG,ESTIMATED TOTAL IMPRESSION,Total Follower
LinkedIn,Shipra Bhatt,https://www.linkedin.com/posts/shipra-bhatt-marketing-director_this-is-how-you-turn-data-into-design-activity-7381561502224236544-nmdz/,1836,25,932,,22264,4715384,7280945
LinkedIn,The Brand Age,https://www.linkedin.com/feed/update/urn:li:activity:7376568131445682176/?actorCompanyId=633683,7287,17,1896,,,,
LinkedIn,Bigumigu,https://www.linkedin.com/feed/update/urn:li:activity:7376875317753286657/?actorCompanyId=633683,36526,151,6141,,Source Links,,
LinkedIn,Brand Planet,https://www.linkedin.com/feed/update/urn:li:activity:7376893504007864320/?actorCompanyId=633683,87634,173,15554,,LinkedIn Impression Tool,https://www.shieldapp.ai/linkedin-reach-benchmarks,
LinkedIn,Dans Ta Pub,https://www.linkedin.com/feed/update/urn:li:activity:7378358324032851969/?actorCompanyId=633683,66627,89,10462,,Website Impression Tool,https://ahrefs.com/traffic-checker/,
LinkedIn,Pazarlamasyon.com,https://www.linkedin.com/feed/update/urn:li:activity:7378367980943970305/?actorCompanyId=633683,158325,435,61619,,Instagram Impression Tool,https://buffer.com/insights/instagram-benchmarks,
LinkedIn,Ajansgiller,https://www.linkedin.com/feed/update/urn:li:activity:7378420909247754241/?actorCompanyId=633683,41188,19,6141,,,,
LinkedIn,Medya İlanları,https://www.linkedin.com/feed/update/urn:li:activity:7378428375687716866/?actorCompanyId=633683,9284,5,1896,,,,
LinkedIn,Uttkarsha S.,https://www.linkedin.com/feed/update/urn:li:activity:7378671614919532544/?actorCompanyId=633683,39493,172,6141,,,,
LinkedIn,AdPorn™,https://www.linkedin.com/feed/update/urn:li:activity:7378661775073828864/?actorCompanyId=633683,126008,148,25272,,,,
LinkedIn,Lürzer's Archive,https://www.linkedin.com/feed/update/urn:li:activity:7379829212901314560/?actorCompanyId=633683,21468,285,3025,,,,
LinkedIn,Creative Rounds,https://www.linkedin.com/feed/update/urn:li:activity:7379797068883865600/?actorCompanyId=633683,335,3,279,,,,
LinkedIn,Ralf Heuel,https://www.linkedin.com/feed/update/urn:li:activity:7380243622232838144/?actorCompanyId=633683,6812,69,1896,,,,
LinkedIn, James Herring,https://www.linkedin.com/feed/update/urn:li:activity:7379760721615687680/?actorCompanyId=633683,10180,2050,3025,,,,
LinkedIn, Hermes Pittakos,https://www.linkedin.com/feed/update/urn:li:activity:7381578455282348032/?actorCompanyId=633683,500,43,531,,,,
LinkedIn,Samet Keskin,https://www.linkedin.com/posts/ksknsmt_veri-verigaemrselleagntirme-kent-ugcPost-7381808947911000064-xTeE,5305,107,1896,,,,
LinkedIn,Igor Velić,https://www.linkedin.com/posts/igor-veli%C4%87-9aa243170_roadsafety-traffic-urbanmobility-ugcPost-7381987852840165376-ZH3G,500,133,531,,,,
LinkedIn,Unique Out Of Home Advertising,https://www.linkedin.com/posts/uniqueooh_uniqueooh-oohstories-creativeooh-ugcPost-7382021424015826944-Dtpv,180,5,279,,,,
LinkedIn,Mohamed Himeur,https://www.linkedin.com/posts/mohamed-himeur_designforgood-roadsafety-datadesign-ugcPost-7379284905907658752-cvf9,500,28,531,,,,
LinkedIn,Creapills,https://www.linkedin.com/posts/creapills_%C3%A0-istanbul-un-passage-pi%C3%A9ton-transform%C3%A9-ugcPost-7378775556672159746-9f1B,890908,475,225111,,,,
LinkedIn,YOUNES J.,https://www.linkedin.com/posts/younes-jeddi-maintenance_%C3%A0-istanbul-un-passage-pi%C3%A9ton-transform%C3%A9-activity-7378900163764912128-H6Nu,47044,16,6141,,,,
LinkedIn, Thorsten Peters,https://www.linkedin.com/posts/thorsten-peters-53434215_ooh-ootd-oohmarketing-activity-7378734044554883072--TC2,500,3,531,,,,
LinkedIn,"Merve Çuhadaroğlu Çalışkan, MA",https://www.linkedin.com/posts/merve-%C3%A7uhadaro%C4%9Flu-%C3%A7al%C4%B1%C5%9Fkan-ma-02835624_tuzla-belediyesi-bir-yaya-ge%C3%A7idinin-%C5%9Feritlerini-ugcPost-7379225271373201408-oyAx,500,5,531,,,,
LinkedIn,la Réclame,https://www.linkedin.com/posts/la-r%C3%A9clame_la-s%C3%A9curit%C3%A9-routi%C3%A8re-saffiche-directement-ugcPost-7378763941121781760-NCI7,62326,19,10462,,,,
LinkedIn,Diego Vergara Lizárraga,https://www.linkedin.com/posts/diegovergara_ooh-estambul-ooh-activity-7378491836862205952-58AA,7229,79,1896,,,,
LinkedIn,Uttkarsha S.,https://www.linkedin.com/posts/uttkarsha-s-267b15212_linkedin-ooh-activation-ugcPost-7378671613988237312-wLqu,39495,173,6141,,,,
LinkedIn,Advertising Vietnam,https://www.linkedin.com/posts/advertisingvietnam_t%E1%BA%A1i-tuzla-istanbul-m%E1%BB%99t-v%E1%BA%A1ch-sang-%C4%91%C6%B0%E1%BB%9Dng-ugcPost-7378344995436548096-cSvU,71641,149,10462,,,,
LinkedIn,Ali Husain,https://www.linkedin.com/posts/alihussainkwt_tuzla-municipality-in-istanbul-has-transformed-ugcPost-7378355496552005632-0dd3,11675,18,3025,,,,
LinkedIn,Nourhan Sharaf,https://www.linkedin.com/posts/nourhan-sharaf-13aaa4a8_designthinking-datadriven-publicsafety-ugcPost-7378380461196087296-DYyv,500,21,650,,,,
LinkedIn,Seedily,https://www.linkedin.com/posts/seedilyai_the-accident-chart-zebra-crossing-live-ugcPost-7378421832426758144-WBy_,214246,354,25272,,,,
LinkedIn,Şahin Sezer Dinçer,https://www.linkedin.com/posts/sahinsezerdincer_son-d%C3%B6nemde-dikkat-%C3%A7eken-en-anlaml%C4%B1-projelerden-ugcPost-7376887129714442240-mLsE,42596,90,6141,,,,
